,text,embeddings,distances
81,"May 15 – Former President of Somalia Hassan Sheikh Mohamud is elected president again, beating President Mohamed Abdullahi Mohamed.","[-0.01145447 -0.00952815 -0.01937951 ... -0.02025864  0.03855217
  0.01261155]",0.268965532227593
82,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.,"[-0.01832118 -0.00645652  0.01098248 ...  0.00638301  0.01685088
 -0.0091478 ]",0.11925799300861717
83,"May 20 – 2022 monkeypox outbreak: The World Health Organization (WHO) holds an emergency meeting to discuss the spread of monkeypox in nearly a dozen countries, as the number of reported cases reaches 100.","[-0.01190065 -0.01842024  0.00952815 ... -0.00643691 -0.00520296
 -0.00557823]",0.2700986409298308
84,"May 21 – 2022 Australian federal election: The Labor party, led by Anthony Albanese, defeats the Liberal-National Coalition government led by Prime Minister Scott Morrison. Albanese would be sworn in on May 23.","[-0.01810119 -0.013066   -0.02656541 ... -0.00428947  0.00792883
  0.00098792]",0.27052213891732013
85,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and 2 teachers at Robb Elementary School.,"[-0.02516528 -0.00363862 -0.00556873 ... -0.00453142 -0.00040967
  0.00948034]",0.25089306435823744
86,May 27 – Fiji announces that it will become the 14th member of the Indo-Pacific Economic Framework for Prosperity in order to counter Chinese influence in the Pacific. This comes amid a visit by Chinese foreign minister Wang Yi to Kiribati.,"[-0.00358316 -0.00068144  0.00367461 ...  0.00104441 -0.01027585
 -0.01868336]",0.2659935862488607
87,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France.","[-6.89590536e-03 -9.51028708e-03 -3.58175021e-05 ... -1.49537576e-02
 -2.21180473e-03  3.06866219e-04]",0.2452651479031991
88,June 4 – Retired general Bajram Begaj is elected the 9th President of Albania by the parliament in the 4th round of voting.,"[-0.00945898 -0.00588998 -0.01056113 ... -0.02660703  0.01865864
 -0.00102597]",0.2421587620688741
89,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria.","[-0.01835582 -0.00360377 -0.01245757 ... -0.00165106  0.01889494
 -0.004252  ]",0.25053254101827194
90,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War.","[-0.01034479 -0.01578151 -0.00521155 ...  0.02239957  0.01836608
 -0.0099075 ]",0.23793732323153505
91,"June 19 – The second round of the 2022 legislative election is held in France, resulting in a hung parliament, with President Macron's coalition losing its majority in the National Assembly. A newly-formed coalition of left-wing parties, led by far-left Jean-Luc Mélenchon, makes significant gains. Marine Le Pen's far-right National Rally also makes historic gains, increasing its number of MPs tenfold and becoming the largest opposition party in Parliament. Two weeks later, Macron's government is reshuffled, continuing as a minority administration.","[-0.02889294 -0.00254054 -0.00879719 ...  0.00236094 -0.01908345
 -0.01551755]",0.26490613456375167
